"Source:","C:\Users\Jerry\Nextcloud\Projects\DelftOpenHardware\makerfair_PCB\makerfair_PCB.kicad_sch"
"Date:","24-6-2022 12:01:53"
"Tool:","Eeschema (6.0.1)"
"Generator:","C:\Program Files\KiCad\6.0\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","4"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"","","C1","100n","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"","","D1","NeoPixel_THT","LED:NeoPixel_THT","LED_THT:LED_D5.0mm-4_RGB_Wide_Pins","https://www.adafruit.com/product/1938"
"","","J1","Conn_01x04","Connector_Generic:Conn_01x04","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
"","","J2","Conn_01x04","Connector_Generic:Conn_01x04","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"



"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet"
"1","1","C1","100n","Device:C","Capacitor_SMD:C_0805_2012Metric","~"
"2","1","D1","NeoPixel_THT","LED:NeoPixel_THT","LED_THT:LED_D5.0mm-4_RGB_Wide_Pins","https://www.adafruit.com/product/1938"
"3","2","J1, J2","Conn_01x04","Connector_Generic:Conn_01x04","Connector_JST:JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical","~"
